Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,Rank,Avg Rank
Kevon Looney,GSW,"PF,C",269,223,67,25,37,0.525,0.663,0,48,810,36,198,200
Ed Davis,MIN,"PF,C",253,384,36,29,26,0.596,0.613,0,66,914,40,400,400
Tacko Fall,BOS,C,245,160,13,32,10,0.679,0.512,1,52,438,39,400,400
Daniel Gafford,CHI,"C,PF",244,132,27,68,18,0.603,0.532,0,58,810,35,295,256
Bruno Fernando,ATL,C,243,201,50,16,18,0.543,0.578,6,61,719,40,400,400
Rodions Kurucs,BKN,"SF,PF",242,119,32,11,19,0.459,0.73,30,42,625,38,245,240.1
Gorgui Dieng,MEM,"PF,C",236,178,39,27,25,0.493,0.787,18,45,582,32,200,200.9
Damian Jones,PHO,C,225,146,33,28,20,0.701,0.715,1,57,710,21,400,400
Robert Williams III,BOS,"PF,C",223,218,39,64,33,0.711,0.615,0,46,697,35,162,165.1
Goga Bitadze,IND,C,214,132,29,44,10,0.46,0.734,10,65,592,33,210,209.2
Luke Kornet,CHI,"PF,C",195,74,31,24,14,0.405,0.778,37,34,493,13,400,400
Vincent Poirier,PHI,C,178,176,34,34,9,0.493,0.779,1,43,550,34,400,400
Khem Birch,ORL,"PF,C",150,145,29,17,14,0.593,0.671,0,43,591,17,400,400
Cristiano Felicio,CHI,C,132,130,24,2,11,0.617,0.709,0,41,483,21,400,400
Kyle O'Quinn,PHI,"PF,C",132,124,49,25,7,0.527,0.699,3,41,355,28,400,400
Chris Silva,MIA,"SG,PF",95,92,20,19,6,0.573,0.691,0,40,260,25,400,400
